0.000	67.000
0.000	0.000
0.000	9.000
0.000	10.000
0.000	24.000
0.000	33.000
0.000	34.000
0.000	70.000
0.000	73.000
0.000	79.000
0.000	94.000
0.000	98.000
0.000	99.000
0.000	126.000
0.000	136.000
0.000	139.000
0.000	142.000
0.000	146.000
0.000	156.000
0.000	157.000
0.000	163.000
0.000	173.000
0.000	179.000
0.000	180.000
0.000	181.000
0.000	189.000
0.000	223.000
0.000	225.000
0.000	227.000
0.000	228.000
0.000	240.000
0.000	241.000
0.000	252.000
0.000	270.000
0.000	271.000
0.000	272.000
0.000	299.000
0.000	304.000
0.000	312.000
0.000	313.000
0.000	315.000
0.000	329.000
0.000	335.000
0.000	344.000
0.000	363.000
0.000	373.000
0.000	374.000
0.000	375.000
0.000	377.000
0.000	390.000
0.000	392.000
0.000	431.000
0.000	432.000
0.000	433.000
0.000	437.000
0.000	453.000
0.000	472.000
0.000	477.000
0.000	479.000
0.000	480.000
0.000	488.000
0.000	489.000
0.000	490.000
0.000	499.000
