-2.000	49.000
-2.000	0.000
-2.000	5.000
-2.000	31.000
-2.000	71.000
-2.000	72.000
-2.000	89.000
-2.000	91.000
-2.000	96.000
-2.000	105.000
-2.000	127.000
-2.000	130.000
-2.000	133.000
-2.000	147.000
-2.000	152.000
-2.000	156.000
-2.000	178.000
-2.000	205.000
-2.000	212.000
-2.000	215.000
-2.000	220.000
-2.000	233.000
-2.000	256.000
-2.000	262.000
-2.000	265.000
-2.000	297.000
-2.000	315.000
-2.000	334.000
-2.000	337.000
-2.000	357.000
-2.000	360.000
-2.000	384.000
-2.000	391.000
-2.000	396.000
-2.000	399.000
-2.000	414.000
-2.000	420.000
-2.000	426.000
-2.000	443.000
-2.000	451.000
-2.000	456.000
-2.000	462.000
-2.000	466.000
-2.000	472.000
-2.000	474.000
-2.000	478.000
0.000	484.000
